City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
221,Labuhan,ID,78.44,overcast clouds,-6.8844,112.2051,DoubleFAG
225,Siuna,NI,80.78,clear sky,13.7332,-84.7773,hotel los chinitos
226,Rio Verde De Mato Grosso,BR,75.04,broken clouds,-18.9181,-54.8442,Quedas Palace Hotel
228,Mecca,SA,81.21,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
231,Brownwood,US,88.92,few clouds,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
232,Nago,JP,77.45,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
233,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
236,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
237,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
238,Isangel,VU,82.94,broken clouds,-19.55,169.2667,Tanna Lodge
241,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
244,Omboue,GA,78.13,overcast clouds,-1.5746,9.2618,Hotel Olako
245,North Platte,US,76.12,scattered clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
246,Kloulklubed,PW,81.1,broken clouds,7.0419,134.2556,Storyboard Beach Resort
248,Nargana,PA,79.05,scattered clouds,9.4428,-78.5906,Dubbir
249,Kaohsiung,TW,82.04,broken clouds,22.6163,120.3133,御宿商旅-中山館
250,Ferkessedougou,CI,81.09,overcast clouds,9.6,-5.2,Hotel Chateau
252,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
258,Santo Antonio Do Leverger,BR,86.38,scattered clouds,-15.8656,-56.0767,Chácara Do SINETRAN
261,Akyab,MM,79.97,scattered clouds,20.15,92.9,Hotel Memory
269,Vaitape,PF,78.71,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
270,Saint-Joseph,RE,75.58,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
279,Wahiawa,US,79.12,broken clouds,21.5028,-158.0236,The Inn At Schofield
282,Pailon,BO,82.08,overcast clouds,-17.65,-62.75,Alojamiento pailon
283,Cap Malheureux,MU,77.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
285,Rio De Janeiro,BR,75.99,broken clouds,-22.9028,-43.2075,Hotel cruz de ouro
296,Santo Domingo,DO,75.04,overcast clouds,18.5001,-69.9886,Cabañas City Heart
297,Buala,SB,85.57,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
298,Santa Marta,CO,80.89,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
301,Tondano,ID,75.29,overcast clouds,1.3038,124.9112,Villa Bella
306,Moerai,PF,76.32,overcast clouds,-22.4333,-151.3333,Le Manotel
307,Oyotun,PE,76.95,overcast clouds,-6.8519,-79.3036,Hotel Campos
309,Quatre Cocos,MU,77.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
315,Panacan,PH,83.64,broken clouds,9.2463,118.4082,Mom's Place Resort
