,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
152,Ranot,TH,7.7777,100.3213,83.32,75,100,8.12,overcast clouds
153,Bredasdorp,ZA,-34.5322,20.0403,58.33,88,21,5.01,few clouds
154,Kokkola,FI,63.8385,23.1307,35.04,90,0,1.14,clear sky
155,Thunder Bay,CA,48.4001,-89.3168,42.78,61,75,14.97,broken clouds
156,Hobart,AU,-42.8794,147.3294,56.26,64,75,9.22,broken clouds
157,Tahe,CN,52.3333,124.7333,38.43,35,63,4.68,broken clouds
158,Orzinuovi,IT,45.404,9.9216,54.66,55,99,3.91,light rain
159,Nivala,FI,63.9167,24.9667,41.68,97,49,2.08,scattered clouds
160,Maningrida,AU,-12.0667,134.2667,83.37,63,31,8.43,scattered clouds
161,Talnakh,RU,69.4865,88.3972,7.3,83,98,2.28,overcast clouds
162,Katsuura,JP,35.1333,140.3,67.23,90,90,16.13,overcast clouds
163,Port Lincoln,AU,-34.7333,135.8667,62.51,64,94,14.72,overcast clouds
164,San Cristobal,VE,7.7669,-72.225,71.78,92,75,2.42,broken clouds
165,Maxixe,MZ,-23.8597,35.3472,69.01,81,64,4.59,broken clouds
166,Guerrero Negro,MX,27.9769,-114.0611,64.9,62,51,20.31,broken clouds
167,Lagoa,PT,39.05,-27.9833,56.12,65,98,22.17,overcast clouds
168,Tuktoyaktuk,CA,69.4541,-133.0374,5.0,78,40,5.75,scattered clouds
169,Sao Filipe,CV,14.8961,-24.4956,72.86,78,91,4.81,overcast clouds
170,Port Hedland,AU,-20.3167,118.5667,75.25,27,88,5.75,overcast clouds
171,Alofi,NU,-19.0595,-169.9187,82.29,78,100,4.61,overcast clouds
172,Tigil,RU,57.8,158.6667,28.74,89,100,11.63,overcast clouds
173,Tazovskiy,RU,67.4667,78.7,-10.89,100,98,2.35,overcast clouds
174,Loandjili,CG,-4.7561,11.8578,77.92,91,100,4.29,overcast clouds
175,Asau,RO,46.4333,26.4,40.12,79,22,5.73,few clouds
176,Upernavik,GL,72.7868,-56.1549,11.08,87,100,10.6,overcast clouds
177,Nauta,PE,-4.5061,-73.5757,72.86,98,51,2.19,broken clouds
178,Marathon,US,44.9,-89.7668,56.44,41,0,17.27,clear sky
179,Pierre,US,44.3683,-100.351,67.05,36,20,25.32,few clouds
180,Roswell,US,34.0232,-84.3616,75.33,57,0,9.22,clear sky
181,Eureka,US,40.8021,-124.1637,58.35,72,100,8.99,overcast clouds
182,Fortuna,US,40.5982,-124.1573,58.08,69,75,9.22,broken clouds
183,Esperance,AU,-33.8667,121.9,53.44,69,77,8.68,broken clouds
184,Ballina,AU,-28.8667,153.5667,69.98,93,100,8.05,light rain
185,Prince Rupert,CA,54.3161,-130.3201,53.69,47,0,13.8,clear sky
186,Tsagan Aman,RU,47.5639,46.7218,56.03,45,100,9.75,light rain
187,Svolvaer,NO,68.2342,14.5683,43.5,82,96,5.01,overcast clouds
188,Zhigansk,RU,66.7697,123.3711,17.94,97,93,10.13,overcast clouds
189,Shingu,JP,33.7333,135.9833,69.82,66,21,3.38,few clouds
190,Lerwick,GB,60.1545,-1.1494,46.4,87,31,19.69,scattered clouds
191,Tabas,IR,33.5959,56.9244,75.42,16,73,4.61,broken clouds
192,Inuvik,CA,68.3499,-133.7218,14.76,57,20,6.91,few clouds
193,Mitsamiouli,KM,-11.3847,43.2844,81.77,78,100,0.72,light rain
194,Igra,RU,57.5558,53.0547,23.83,93,6,2.44,clear sky
195,Lata,PT,40.1629,-8.3327,51.08,96,100,5.1,light rain
196,Kavaratti,IN,10.5669,72.642,84.27,74,8,7.09,clear sky
197,Codrington,AU,-38.2667,141.9667,58.32,59,96,13.38,overcast clouds
198,Husavik,IS,66.0449,-17.3389,43.48,87,7,9.01,clear sky
199,Marawi,PH,7.9986,124.2928,74.77,81,88,1.97,overcast clouds
200,Kattivakkam,IN,13.2167,80.3167,84.29,83,7,8.01,clear sky
201,Tanout,NE,14.9709,8.8879,86.11,24,93,6.53,overcast clouds
202,Kolno,PL,53.4115,21.9291,43.57,94,100,12.12,overcast clouds
203,Prachuap Khiri Khan,TH,12.2167,99.75,78.69,84,45,2.04,scattered clouds
204,Whitehorse,CA,60.7161,-135.0538,45.1,30,75,3.44,broken clouds
205,Cooma,AU,-36.2333,149.1333,49.77,76,100,4.61,overcast clouds
206,Ponnani,IN,10.767,75.9252,79.92,82,38,1.12,scattered clouds
207,Olinda,BR,-8.0089,-34.8553,82.13,74,40,4.61,scattered clouds
208,Fairbanks,US,64.8378,-147.7164,47.98,34,0,5.75,clear sky
209,Anadyr,RU,64.75,177.4833,30.7,80,40,4.47,light snow
210,Saint Andrews,US,34.0454,-81.1293,76.73,39,20,9.22,few clouds
211,Kasempa,ZM,-13.4584,25.8338,61.07,96,75,4.25,broken clouds
212,Tasiilaq,GL,65.6145,-37.6368,32.16,95,100,15.99,light snow
213,Airai,TL,-8.9266,125.4092,67.5,68,81,3.67,broken clouds
214,San Quintin,MX,30.4833,-115.95,62.65,69,44,20.09,scattered clouds
215,Tatawin,TN,32.9297,10.4518,62.58,31,0,11.63,clear sky
216,Vestmannaeyjar,IS,63.4427,-20.2734,46.69,80,95,14.97,overcast clouds
217,Nelson Bay,AU,-32.7167,152.15,69.01,95,100,15.61,overcast clouds
218,Pavilosta,LV,56.8879,21.1859,42.71,83,3,9.1,clear sky
219,Santa Maria,BR,-29.6842,-53.8069,63.7,94,0,1.14,clear sky
220,Nhulunbuy,AU,-12.2333,136.7667,83.01,89,35,1.14,scattered clouds
221,Labuhan,ID,-6.8844,112.2051,78.44,86,100,6.26,overcast clouds
222,Kruisfontein,ZA,-34.0033,24.7314,58.89,88,19,5.93,few clouds
223,Rudnogorsk,RU,57.2639,103.7519,28.65,73,84,4.56,broken clouds
224,Lowestoft,GB,52.4752,1.7516,48.45,90,85,15.75,overcast clouds
225,Siuna,NI,13.7332,-84.7773,80.78,62,10,5.28,clear sky
226,Rio Verde De Mato Grosso,BR,-18.9181,-54.8442,75.04,47,53,4.61,broken clouds
227,Ahipara,NZ,-35.1667,173.1667,69.8,78,35,18.19,scattered clouds
228,Mecca,SA,21.4267,39.8261,81.21,52,19,0.92,few clouds
229,Humaita,BR,-7.5061,-63.0208,74.16,95,96,1.07,overcast clouds
230,Skagen,DK,57.7209,10.5839,49.03,75,8,14.07,clear sky
231,Brownwood,US,31.7093,-98.9912,88.92,60,20,20.71,few clouds
232,Nago,JP,26.5881,127.9761,77.45,83,56,6.13,broken clouds
233,Kahului,US,20.8947,-156.47,84.22,48,40,23.02,scattered clouds
234,Staraya Mayna,RU,54.6,48.95,35.71,79,100,9.51,overcast clouds
235,Onguday,RU,50.75,86.15,43.41,78,100,9.75,overcast clouds
236,Souillac,MU,-20.5167,57.5167,75.58,83,40,9.22,scattered clouds
237,Oistins,BB,13.0667,-59.5333,78.89,65,40,14.97,scattered clouds
238,Isangel,VU,-19.55,169.2667,82.94,68,63,9.17,broken clouds
239,Bud,US,39.447,-86.1758,68.02,63,74,2.19,broken clouds
240,Thompson,CA,55.7435,-97.8558,37.56,28,0,6.91,clear sky
241,Neiafu,TO,-18.65,-173.9833,81.28,83,75,8.05,broken clouds
242,Bafra,TR,41.5678,35.9069,46.81,88,63,6.46,broken clouds
243,Cayenne,GF,4.9333,-52.3333,73.44,1,100,0.0,light rain
244,Omboue,GA,-1.5746,9.2618,78.13,93,98,3.29,overcast clouds
245,North Platte,US,41.1239,-100.7654,76.12,30,31,28.01,scattered clouds
246,Kloulklubed,PW,7.0419,134.2556,81.1,79,74,22.73,broken clouds
247,Lyuban,BY,52.7985,28.0048,39.58,86,61,14.63,broken clouds
248,Nargana,PA,9.4428,-78.5906,79.05,80,31,9.35,scattered clouds
249,Kaohsiung,TW,22.6163,120.3133,82.04,73,75,3.44,broken clouds
250,Ferkessedougou,CI,9.6,-5.2,81.09,59,91,5.01,overcast clouds
251,Syracuse,IT,37.0881,15.2792,60.17,84,27,8.66,scattered clouds
252,Saint George,US,37.1041,-113.5841,84.79,9,0,33.38,clear sky
253,Mpongwe,ZM,-13.5091,28.155,60.39,98,56,4.12,broken clouds
254,Oskaloosa,US,41.2964,-92.6444,68.58,42,0,8.05,clear sky
255,College,US,64.8569,-147.8028,47.98,34,0,5.75,clear sky
256,Ribeira Grande,PT,38.5167,-28.7,57.33,68,100,17.45,overcast clouds
257,Mehamn,NO,71.0357,27.8492,37.35,87,75,18.41,moderate rain
258,Santo Antonio Do Leverger,BR,-15.8656,-56.0767,86.38,58,47,3.91,scattered clouds
259,Margate,GB,51.3813,1.3862,50.88,84,46,7.0,scattered clouds
260,Saldanha,ZA,-33.0117,17.9442,59.05,93,4,13.0,clear sky
261,Akyab,MM,20.15,92.9,79.97,80,36,3.62,scattered clouds
262,Yining,CN,29.0361,114.5636,70.95,76,100,0.78,overcast clouds
263,Kuusamo,FI,65.9667,29.1833,39.24,70,0,8.05,clear sky
264,Udachnyy,RU,66.4167,112.4,17.46,85,98,5.53,overcast clouds
